task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mDiffFit 11 512 4454 8963 4509 6025 9574 3549 2955 266 328 512
mConcatFit 28 512 8968 10039 1071 9650 10651 1001 374 496 131 512
mBgModel 29 512 10051 16940 6889 10763 17549 6786 114 6524 148 512
mBackground 35 512 16972 18116 1144 17707 18709 1002 360 161 481 512
mBackground 32 512 16964 18121 1157 17621 18689 1068 403 180 485 512
mBackground 38 512 16974 18141 1167 17676 18720 1044 386 160 498 512
mBackground 30 512 16963 18183 1220 17656 18794 1138 425 158 555 512
mBackground 31 512 16964 18192 1228 17615 18759 1144 345 264 535 512
mBackground 34 512 16972 18223 1251 17664 18790 1126 404 162 560 512
mBackground 33 512 16965 18245 1280 17666 18813 1147 424 160 563 512
mBackground 37 512 16973 18292 1319 17687 18869 1182 455 143 584 512
mBackground 36 512 16972 18611 1639 17676 19188 1512 841 160 511 512
mBackground 39 512 16974 18755 1781 17666 19312 1646 743 141 762 512
mImgtbl 40 512 18763 20734 1971 19449 21227 1778 1480 121 177 512
mAdd 41 512 20737 26412 5675 21393 26970 5577 4256 524 797 512
mShrink 42 512 26420 27853 1433 27111 28411 1300 479 322 499 512
mJPEG 43 512 27857 29617 1760 28523 30067 1544 447 862 235 512
mProjectPP 2 512 10 3058 3048 777 3633 2856 268 2103 485 512
mProjectPP 5 512 12 3131 3119 775 3705 2930 299 2148 483 512
mProjectPP 10 512 65 3167 3102 804 3736 2932 288 2125 519 512
mProjectPP 8 512 61 3168 3107 803 3734 2931 303 2061 567 512
mProjectPP 4 512 12 3209 3197 847 3821 2974 296 2102 576 512
mProjectPP 1 512 0 3213 3213 750 3771 3021 403 2108 510 512
mProjectPP 3 512 10 3232 3222 808 3804 2996 320 2101 575 512
mProjectPP 6 512 13 3275 3262 803 3837 3034 291 2142 601 512
mProjectPP 7 512 14 3275 3261 849 3884 3035 362 2120 553 512
mProjectPP 9 512 62 3387 3325 815 3965 3150 273 2205 672 512
mDiffFit 15 512 3173 4532 1359 3890 5143 1253 821 186 246 512
mDiffFit 25 512 3401 4624 1223 4072 5187 1115 694 162 259 512
mDiffFit 22 512 3287 4673 1386 3932 5242 1310 860 241 209 512
mDiffFit 20 512 3286 4705 1419 3970 5275 1305 707 278 320 512
mDiffFit 12 512 3242 4715 1473 3939 5272 1333 794 243 296 512
mDiffFit 14 512 3246 4722 1476 3860 5194 1334 840 163 331 512
mDiffFit 11 512 3218 4779 1561 3873 5350 1477 835 263 379 512
mDiffFit 21 512 3283 4817 1534 3925 5382 1457 821 360 276 512
mDiffFit 19 512 3212 4912 1700 3871 5480 1609 1023 181 405 512
mDiffFit 18 512 3241 4943 1702 3951 5553 1602 1035 278 289 512
mDiffFit 26 512 3286 4991 1705 3974 5548 1574 972 282 320 512
mDiffFit 27 512 3394 4993 1599 4048 5562 1514 1060 183 271 512
mDiffFit 16 512 3239 5080 1841 3892 5638 1746 1142 303 301 512
mDiffFit 13 512 3220 5125 1905 3941 5702 1761 1180 282 299 512
mDiffFit 24 512 3399 5137 1738 4048 5704 1656 1000 281 375 512
mDiffFit 17 512 3240 5164 1924 3952 5742 1790 1334 162 294 512
mDiffFit 23 512 3287 5847 2560 3967 6316 2349 1776 246 327 512
